
Time,T_+ve,T_-ve,Flux,Fluxpos,Fluxneg
424.765,0.538,-0.558,3.051528084e-08,3.831427512e-09,-9.625223e+01
425.816,0.482,-0.513,3.170419956e-08,4.2791958e-09,-1.076130e+02
426.862,0.570,-0.565,2.946355236e-08,3.69417708e-09,-9.290518e+01
428.182,0.813,-0.749,2.053499184e-08,2.709183312e-09,-6.820282e+01
429.500,0.533,-0.506,3.212968968e-08,4.07255508e-09,-1.025544e+02
430.591,0.593,-0.558,2.752848648e-08,3.666676068e-09,-9.237902e+01
431.652,0.412,-0.467,3.698351712e-08,4.77252468e-09,-1.202303e+02
432.639,0.627,-0.576,2.70264258e-08,3.487290444e-09,-8.785825e+01
433.954,0.663,-0.688,2.306321028e-08,3.137393556e-09,-7.906754e+01
435.141,0.517,-0.524,3.096918792e-08,4.0369428e-09,-1.017310e+02
436.231,0.595,-0.574,2.73426714e-08,3.601366956e-09,-9.076834e+01
437.456,0.671,-0.629,2.457464724e-08,3.240697284e-09,-8.160203e+01
438.931,0.694,-0.804,2.115323496e-08,2.825657208e-09,-7.103105e+01
440.195,0.577,-0.570,2.856826764e-08,3.670165224e-09,-9.203640e+01
441.288,0.621,-0.516,2.886600816e-08,3.719836692e-09,-9.306763e+01
442.454,0.432,-0.545,3.387715056e-08,4.33550304e-09,-1.081793e+02
443.485,0.604,-0.599,2.728600776e-08,3.52501182e-09,-8.797960e+01
444.626,0.475,-0.537,3.134039436e-08,4.21414488e-09,-1.053127e+02
445.590,0.528,-0.489,3.17115612e-08,4.17642192e-09,-1.043259e+02
446.690,0.505,-0.571,3.099453192e-08,3.922776792e-09,-9.787102e+01
447.751,0.475,-0.556,3.1593276e-08,4.12470828e-09,-1.029609e+02
448.835,0.614,-0.610,2.68101702e-08,3.465507672e-09,-8.650211e+01
450.165,0.675,-0.716,2.241248724e-08,3.078163044e-09,-7.701594e+01
451.347,0.581,-0.506,2.967066828e-08,3.914930844e-09,-9.774577e+01
452.453,0.679,-0.525,2.722174884e-08,3.516583356e-09,-8.777016e+01
453.772,0.692,-0.640,2.29708116e-08,3.221989848e-09,-8.058732e+01
455.166,0.567,-0.701,2.517275772e-08,3.387948696e-09,-8.470018e+01
456.336,0.644,-0.603,2.585316096e-08,3.401691876e-09,-8.500551e+01
457.533,0.614,-0.553,2.855972988e-08,3.608192016e-09,-9.008204e+01
458.662,0.547,-0.515,3.086955432e-08,3.97991088e-09,-9.940517e+01
460.038,0.616,-0.828,2.13769512e-08,2.9646144e-09,-7.415413e+01
461.364,0.708,-0.710,2.29461606e-08,2.990533788e-09,-7.469196e+01
462.771,0.609,-0.699,2.456515908e-08,3.269945052e-09,-8.169042e+01
464.307,0.731,-0.927,1.953771732e-08,2.57571468e-09,-6.431910e+01
465.904,0.736,-0.865,1.989094932e-08,2.67671448e-09,-6.687422e+01
467.229,0.732,-0.590,2.388678336e-08,3.246231384e-09,-8.113681e+01
468.639,0.550,-0.678,2.639006964e-08,3.473955936e-09,-8.679419e+01
469.796,0.499,-0.607,2.927515536e-08,3.851745084e-09,-9.625423e+01
471.145,0.609,-0.850,2.145623832e-08,2.941440084e-09,-7.359156e+01
472.512,0.649,-0.758,2.344580964e-08,2.987245404e-09,-7.465790e+01
473.771,0.538,-0.610,2.851334244e-08,3.629389104e-09,-9.078298e+01
475.020,0.689,-0.711,2.240615124e-08,2.99895156e-09,-7.519681e+01
476.423,0.697,-0.714,2.242759464e-08,2.96287794e-09,-7.449619e+01
477.704,0.665,-0.584,2.598224508e-08,3.319710372e-09,-8.365662e+01
478.922,0.659,-0.553,2.65612644e-08,3.427379604e-09,-8.637779e+01
480.288,0.618,-0.707,2.488908312e-08,3.113664048e-09,-7.841513e+01
481.665,0.620,-0.759,2.333934504e-08,3.011724936e-09,-7.586862e+01
482.970,0.711,-0.685,2.322515844e-08,2.965953672e-09,-7.472435e+01
484.245,0.760,-0.564,2.347116156e-08,3.15928404e-09,-7.962779e+01
485.582,0.606,-0.577,2.603170548e-08,3.541704012e-09,-8.927216e+01
486.853,0.734,-0.665,2.298642984e-08,2.966143752e-09,-7.473434e+01
488.283,0.673,-0.697,2.287467468e-08,3.046441464e-09,-7.675323e+01
489.665,0.722,-0.708,2.228366052e-08,2.905785432e-09,-7.318817e+01
491.091,0.612,-0.704,2.462004864e-08,3.144316032e-09,-7.916093e+01
492.293,0.786,-0.589,2.25902556e-08,3.045097836e-09,-7.657818e+01
493.817,0.673,-0.738,2.313937692e-08,2.983222836e-09,-7.457492e+01
495.155,0.617,-0.665,2.485290852e-08,3.28271328e-09,-8.162139e+01
496.373,0.732,-0.600,2.412607428e-08,3.164354424e-09,-7.841349e+01
497.873,0.712,-0.768,2.080961784e-08,2.864276316e-09,-7.132967e+01
